[-7.0, -6.5]
[5.815877761794199, -1.3023174511953215]
[-6.787960127461484, 6.174806253587381]
[5.820306487678995, 0.4041433334734628]
[3.4229780250876587, -4.632758656480763]
[4.981714609690364, 0.19728855711513557]
[-2.049157860167413, 5.138395178838244]
[5.696029566050941, 2.742247721182466]
[-0.8060727170261847, 2.935324203171838]
[-0.1552489950051766, 5.552867212066435]
[-0.6504451384346464, 0.3721924999682466]
[5.014817368607913, -0.3065472841366331]
[5.710030823065183, 2.1506505523001618]
[5.678220913573806, 2.351123585255898]
[0.3172055139537553, 0.9154359776490618]
[-1.2590140622967194, 2.4994953159172213]
[5.482551775658887, -1.7387123259478943]
[4.240634012297231, -2.0258985701745256]
[4.392081357397785, 4.699433315328753]
[2.9140820794921143, 1.6202944878144667]
[3.004440157371707, 4.03524491319552]
[5.782326336959311, -0.08923942872754385]
[0.8306439295436268, 5.9034115474687265]
[0.15225019142533647, 5.392797452065113]
[-7.312872821863682, 1.612761136504764]
[-4.376407714476298, 5.9764075365100116]
[4.4762066658990785, 1.731673439498329]
[4.592470473206512, -3.483071736036426]
[1.8267970237925661, -1.1621612269437984]
[5.397602711886946, -2.113876717905031]
[3.868949240691935, -5.547260573652844]
[5.676536082543736, -1.0638637342532538]
[4.881721034219854, 2.3227913394821207]
[5.13557809126653, -2.3490401114051367]
[0.4811395484407149, -1.5795326247044772]
[-4.882261188850249, -4.497247483833223]
[0.7523609463329265, 0.8162345967944354]
[5.0445590826198465, 6.409947275635142]
[5.748866939661393, -1.282647345052035]
[-0.6123132173685731, 3.1226354671177767]
[5.1272608669767985, 1.677385458425309]
[4.942982994475282, 5.080768813368857]
[3.89588821608185, -7.19769638098947]
[5.005368523655921, 6.005398293806767]
[1.8002212976382614, 0.020759125779878936]
[5.353371955796036, 5.170526932577669]
[-0.5741874119377494, 5.279624621092152]
[2.4320211982526887, -7.475057719672538]
[3.223472161226139, -0.9729255183389639]
[5.622359954584818, 1.5545561590706998]
[2.074812530308767, 3.620965218664641]
[4.936236096788192, 5.07606037080694]
[-0.8338775343587296, 6.550180112738711]
[5.04826392806102, 6.627645977441006]
[-3.411664201807349, 3.488902165670833]
[5.045784201363669, 6.111468287587271]
[5.12369054458414, -3.353022797220352]
[3.41769467735227, 0.1892440857861566]
[-2.7167148417913793, 4.137005587815781]
[5.564530904234086, 2.3034411459989923]
[-1.8150875289530919, -2.133850867307591]
[-1.6673647370576248, -1.0375425195180918]
[4.89399345469676, 3.9614574334606467]
[4.006624638072552, 3.2454779892745833]
[-7.666288934099308, 2.6369664061996962]
[2.6429823524780685, -0.23659462161140243]
[2.208889095149386, 3.952650308079649]
[4.108761940851123, -2.6135574107781467]
[5.566195525411549, -3.2765869923681916]
[4.456875988230599, 0.6661880429884819]
[-4.803588548870621, 6.621757398074522]
[-5.045578545854072, 4.613664041980201]
[4.939250329149747, 6.6499256452952915]
[4.611975111537101, -4.483247256149355]
[-6.337375806070388, 1.5393224744263252]
[-5.684499864816715, 0.1704617652149166]
[4.9901797770705825, 4.484045879460178]
[-4.721352903261013, 1.1314226186818104]
[5.213653242866229, 2.27946431359645]
[5.663278198820087, -0.9761916002133509]
[4.732148228562737, 4.12504948303548]
[-1.0647659546531558, 3.024884349721377]
[5.405160123641591, 3.0374719215651087]
[4.909588736605046, 3.9788982214702857]
[3.0446841849758806, 1.5310566587360912]
[4.998966782391988, -6.169375257060945]
[5.03557360055766, 1.1106545261831928]
[5.241048375509943, 2.8232969960442915]
[5.62328927316705, 3.4021349352203147]
[2.516517860325553, 0.08031912633552259]
[2.614233807579229, 0.7855086435484423]
[4.650397160091934, 3.3407418019428627]
[5.345166494813027, 2.1171916964142032]
[5.361305705843342, -0.6382815828797204]
[5.0649941581976305, 1.9764616451992425]
[5.759647022381837, -0.897229595393403]
[4.2134500022516495, 2.4516625387381428]
[-0.3659211319460504, 5.355598656038002]
[4.556115253327129, -1.8263125787062346]
[5.662439059365874, -4.688506001399624]
[4.013196006469639, -1.852422524121985]
[6.198306790973426, 3.9463150238624385]
[5.206967406701563, 2.8032066993518803]
[5.808685455032922, 2.1881002471775273]
[6.187187219890762, 6.227007534506403]
[4.102208994478871, 2.678193214954892]
[3.698023064773997, 1.272667182669758]
[5.032311619276999, 3.742500187363254]
[3.9472502404927097, -7.3319915852141655]
[-0.9792946107224038, 3.502123790806661]
[5.741789128559556, 6.038832495992572]
[6.453569845647053, 5.8730647364649995]
